Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.0,1501,2100
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.0,1501,2100
Ministry Of Beer,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,  Fusion,4.0,1501,2100
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,134,1500
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.2,134,1500
Sandoz,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.2,134,1500
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,Modern Indian,4.2,1410,2000
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,1410,2000
Farzi Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Finger Food,4.2,1410,2000
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.2,1272,2200
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.2,1272,2200
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.2,1272,2200
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,1272,2200
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  American,4.2,1272,2200
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Asian,4.2,1272,2200
Openhouse Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Modern Indian,4.2,1272,2200
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.2,2694,2000
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.2,2694,2000
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.2,2694,2000
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Japanese,4.2,2694,2000
Lord of the Drinks,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Oriental ,4.2,2694,2000
Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,845,2600
Lazeez Affaire,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Mughlai,4.2,845,2600
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,World Cuisine,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Multi-Cuisine,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Chinese,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  American,4.1,297,2000
OTB Courtyard,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Fast Food,4.1,297,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,Multi-Cuisine,4.1,1624,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,  North Indian,4.1,1624,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Italian,4.1,1624,2000
The Darzi Bar & Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,  Continental,4.1,1624,2000
